Uniprot,score_alpha,score_topm,res_length,SS,pLDDT,proQ3D,qmean,EC
P09233,0.2987,0.2717,189,25.2,98.13252532072885,0.3681,0.1947,1.15.1.1
P09417,0.2017,0.2138,244,28.3,96.46869541182974,0.2292,0.2131,1.5.1.34
P09546,0.2322,0.2684,1320,38.2,89.3631979043088,0.3498,0.1985,1.2.1.88
P09917,0.2168,0.1879,674,68.8,97.15665515360882,0.2476,0.208,1.13.11.34
P0A9I8,0.2238,0.3599,108,15.0,95.74971064814804,0.2292,0.2246,1.7.1.15
P0A9J4,0.1635,0.141,303,33.0,94.6691176470586,0.1886,0.1913,1.1.1.169
P0A9S3,0.1968,0.273,346,46.5,97.36387366818911,0.255,0.1931,1.1.1.251
P0A9S5,0.1606,0.2147,367,46.9,97.1562463235293,0.2282,0.1657,1.1.1.6
P0AC47,0.289,0.3569,244,25.3,96.309161392405,0.3422,0.245,1.3.5.1
P0AEN1,0.1687,0.1872,233,32.4,96.16857529794196,0.1865,0.1902,1.5.1.41
P0AF32,0.4372,0.3885,209,26.9,96.48392963625577,0.452,0.2804,1.7.5.1
P0AGE6,0.2351,0.224,188,24.1,97.6094965034968,0.2844,0.2073,1.6.5.2
P0AGG4,0.2176,0.2447,139,12.2,95.49609174311948,0.2568,0.1791,1.8.1.8
P0C0L2,0.2015,0.2648,143,20.1,97.4089801699719,0.2842,0.2085,1.11.1.15
P0C870,0.2473,0.2574,316,32.7,97.87889282899876,0.3015,0.1957,1.14.11.63
P0C872,0.2324,0.2792,316,36.7,97.88302564102555,0.2812,0.1925,1.14.11.63
P10902,0.1522,0.1926,540,60.8,94.06802402260894,0.1587,0.1899,1.4.3.16
P11247,0.2002,0.2364,686,72.0,94.06951504102112,0.1972,0.2186,1.11.2.2
P11344,0.3017,0.3752,505,37.6,92.54831926514385,0.3157,0.249,1.14.18.1
P11349,0.3353,0.3595,498,39.2,97.23308719758111,0.3767,0.248,1.7.5.1
P13635,0.2438,0.2291,1059,15.5,95.12345847020296,0.2861,0.2152,1.16.3.1
P13663,0.1975,0.2203,365,37.6,97.53599352051872,0.2394,0.2059,1.2.1.11
P14061,0.1706,0.1454,285,34.0,96.94966590389,0.2272,0.1847,1.1.1.62
P14902,0.1834,0.185,403,44.8,93.39839448102924,0.2117,0.2034,1.13.11.52
P15047,0.2068,0.3084,248,30.6,97.13203252032488,0.265,0.1926,1.3.1.28
P15559,0.2909,0.2621,274,27.2,98.32853412734804,0.3254,0.2352,1.6.5.2
P15807,0.3406,0.3008,274,33.8,95.57707349665944,0.4243,0.2491,1.3.1.76
P16083,0.2417,0.2202,231,25.7,98.17440131219251,0.2754,0.2085,1.10.5.1
P16152,0.1609,0.1745,277,31.8,97.91641049671978,0.1985,0.1864,1.1.1.53
P16331,0.2183,0.2675,440,46.1,90.62458869613891,0.2382,0.2085,1.14.16.1
P17276,0.2813,0.3199,452,45.3,88.98450985761295,0.3055,0.2235,1.14.16.1
P18775,0.2131,0.3009,799,79.0,94.59858974358934,0.2425,0.2106,1.8.5.3
P20099,0.1748,0.2147,777,78.4,97.07095159425047,0.2124,0.1932,1.8.4.13
P20967,0.2441,0.2396,968,99.9,92.19524418604698,0.2798,0.2196,1.2.4.2
P21375,0.1599,0.1804,501,53.0,96.22532971295536,0.1926,0.195,1.3.1.6
P21954,0.2754,0.2962,407,45.6,96.98744337573623,0.3221,0.2038,1.1.1.42
P24197,0.2045,0.2454,257,28.5,97.58644677661148,0.2752,0.1837,1.13.11.29
P25373,0.1569,0.2363,110,13.3,96.8266973532794,0.2333,0.1415,1.11.1.9
P25535,0.1686,0.2682,400,49.6,88.86481231953796,0.2202,0.1808,1.14.13.240
P25906,0.1623,0.289,286,34.8,95.92002315887056,0.222,0.181,1.1.1.65
P26646,0.1584,0.1862,324,44.6,97.8034672131143,0.2131,0.1796,1.3.1.84
P27431,0.2099,0.2179,373,48.3,96.97490371845969,0.2542,0.1976,1.14.11.47
P27829,0.2013,0.2984,420,51.9,95.81859006211138,0.2773,0.171,1.1.1.336
P28776,0.184,0.1703,407,45.9,92.08586003110383,0.2281,0.1983,1.13.11.52
P28861,0.1853,0.1971,248,33.7,97.44543545082064,0.2416,0.1932,1.18.1.2
P31116,0.1553,0.1863,359,43.2,96.34461736571104,0.1831,0.1773,1.1.1.3
P32614,0.1607,0.194,470,52.0,96.93222284434395,0.2122,0.183,1.3.1.6
P32695,0.1894,0.2925,321,40.5,96.7671485623007,0.2378,0.1984,1.3.1.91
P32747,0.2354,0.2795,411,42.2,96.7729930467758,0.2992,0.1823,1.3.5.2
P34136,0.2493,0.3029,470,47.5,92.16162193032568,0.3251,0.2084,1.1.1.34
P34275,0.2344,0.2669,387,48.9,96.89116694214869,0.2724,0.202,1.3.8.4
P34436,0.2804,0.2973,152,15.5,95.48308139534905,0.2919,0.2429,1.8.4.12
P34439,0.2065,0.2365,298,39.3,95.02190685413004,0.238,0.1975,1.1.1.35
P35731,0.3459,0.3584,278,30.2,89.687623626373,0.5035,0.234,1.1.1.100
P36013,0.1959,0.2561,603,56.9,95.4166141732279,0.2446,0.1997,1.1.1.38
P36014,0.2201,0.267,167,15.5,95.93043699927148,0.2511,0.2152,1.11.1.9
P36088,0.2096,0.3131,169,21.3,95.03148318042837,0.2601,0.1922,1.8.4.14
P36156,0.3032,0.3165,370,37.4,94.42827844799456,0.3203,0.2353,1.8.5.1
P36587,0.2268,0.2324,678,77.2,92.87782560502475,0.2768,0.2011,1.6.2.4
P37610,0.2169,0.2116,283,33.9,96.2556894301871,0.2561,0.2053,1.14.11.17
P38143,0.1916,0.2545,162,18.1,97.0317270624522,0.2268,0.2004,1.11.1.24
P38230,0.1761,0.1788,334,42.4,97.2913919694071,0.2189,0.1854,1.6.5.5
P38489,0.2556,0.2604,194,24.7,98.4703656914897,0.2859,0.1936,1.5.1.34
P38999,0.183,0.1935,446,57.5,97.05115529753296,0.2398,0.1798,1.5.1.10
P39315,0.1349,0.1711,286,36.5,96.76811365807036,0.1693,0.1808,1.6.5.2
P39654,0.1955,0.1968,663,65.5,95.82833019578293,0.2444,0.196,1.13.11.12
P39976,0.2343,0.2761,496,57.7,96.12314138817504,0.2839,0.201,1.1.2.4
P40581,0.2131,0.2885,163,19.8,96.43593916349778,0.2527,0.2038,1.11.1.24
P40926,0.1813,0.2149,314,38.2,96.94077787381084,0.242,0.1886,1.1.1.37
P41345,0.2464,0.231,283,38.1,97.61149732620358,0.3251,0.1857,1.18.1.2
P41911,0.2258,0.2299,357,44.3,95.89967684021536,0.2885,0.1979,1.1.1.8
P41939,0.2609,0.2472,412,44.7,96.31992985666406,0.2993,0.2079,1.1.1.42
P42898,0.212,0.2033,612,72.6,92.16523770989232,0.2533,0.1953,1.5.1.20
P46681,0.2278,0.2688,470,54.8,96.11140403489698,0.2814,0.2034,1.1.2.4
P46883,0.1724,0.185,718,87.6,98.31124580907108,0.242,0.199,1.4.3.21
P47177,0.2598,0.3434,383,33.9,94.26889148580916,0.2994,0.2007,1.13.12.16
P48758,0.1601,0.1828,277,32.0,97.75577333952646,0.2072,0.1803,1.1.1.53
P48999,0.2069,0.1834,674,68.9,96.92539062500028,0.2283,0.21,1.13.11.34
P49419,0.1886,0.2326,503,63.3,98.48938983050832,0.2264,0.2057,1.2.1.3
P49748,0.2628,0.2372,644,72.6,90.50647566235344,0.293,0.2503,1.3.8.9
P50264,0.232,0.2018,508,54.8,96.78403936039275,0.2599,0.2119,1.5.3.17
P50336,0.2229,0.2304,477,61.0,95.36880839160892,0.2978,0.1908,1.3.3.4
P50544,0.2266,0.2427,583,72.8,96.19156143923972,0.278,0.1955,1.3.8.9
P51820,0.2482,0.2892,504,57.4,93.02859487689742,0.2841,0.2243,1.5.1.3
P52643,0.1787,0.1939,329,43.7,96.14853801169608,0.2213,0.1787,1.1.1.28
P53128,0.2438,0.2441,600,70.9,92.53962549141296,0.3054,0.1939,1.5.1.20
P53982,0.2846,0.2431,420,42.6,95.38588882283048,0.3272,0.2089,1.1.1.42
P55826,0.2057,0.3331,484,55.0,95.59874148733252,0.2854,0.177,1.3.3.4
P56522,0.2104,0.257,450,54.5,96.48477109127596,0.272,0.1894,1.18.1.6
P59723,0.3213,0.2935,322,34.8,96.87935240963864,0.3577,0.2316,1.14.11.30
P75728,0.1623,0.2892,391,48.8,90.08580964970284,0.2126,0.1791,1.14.99.60
P76077,0.2634,0.291,309,40.9,96.86694310897444,0.3177,0.178,1.14.13.149
P76254,0.1857,0.2323,321,40.4,93.36906837265128,0.2321,0.1939,1.14.13.239
P76270,0.2187,0.3249,165,20.4,94.89477272727244,0.2499,0.2084,1.8.4.14
P77324,0.2438,0.2766,318,36.7,97.26316407889232,0.3111,0.2175,1.2.99.6
P77489,0.1835,0.2093,732,83.6,98.5460094752188,0.2405,0.2032,1.2.99.6
P83775,0.2036,0.2314,341,34.0,94.20589782118742,0.2629,0.1879,1.1.1.283
P86029,0.2862,0.321,303,33.3,95.06631976500252,0.3324,0.2012,1.13.11.1
P87111,0.2389,0.3108,562,63.4,95.53952086199038,0.2964,0.2013,1.5.5.1
P97584,0.2032,0.2819,329,42.6,97.10062176165783,0.2685,0.1827,1.3.1.48
P9WH71,0.2987,0.2302,304,38.3,92.7576386623163,0.3119,0.2326,1.17.4.1
P9WHH3,0.188,0.3139,459,59.0,97.68374252349707,0.2518,0.1869,1.8.1.15
P9WHH7,0.1766,0.2127,483,63.8,93.905224893918,0.2572,0.1801,1.6.5.2
P9WIS3,0.2303,0.2843,351,42.1,96.61007661437418,0.2833,0.1935,1.2.4.4
P9WJA1,0.2487,0.2736,394,44.9,96.82810695537974,0.297,0.1934,1.14.14.12
P9WJF1,0.2292,0.2415,461,51.7,94.85054786783311,0.2861,0.1998,1.1.98.3
P9WJQ3,0.2187,0.2911,1232,9.5,95.81812150693403,0.2759,0.2039,1.7.5.1
P9WKF7,0.2908,0.3027,408,45.9,94.00504150702407,0.4431,0.2025,1.14.13.59
P9WNE5,0.2193,0.2458,181,22.9,95.3640624999998,0.2449,0.1964,1.16.3.1
P9WNH1,0.2434,0.2537,262,30.4,96.718863863864,0.3135,0.1967,1.11.1.18
P9WNP7,0.1763,0.2512,286,40.1,97.05369615562772,0.2158,0.1714,1.1.1.157
P9WNX1,0.147,0.1482,161,21.9,96.405369340747,0.1805,0.1752,1.5.1.3
P9WP89,0.1704,0.2423,244,31.4,95.32191079295109,0.2442,0.1615,1.3.1.54
P9WPP3,0.2142,0.2643,428,38.1,92.6880183649288,0.2565,0.2027,1.14.15.14
P9WPP7,0.2043,0.1945,396,41.2,95.52721602101091,0.2456,0.2018,1.14.19.70
P9WQC3,0.1775,0.3128,367,43.6,96.0628817365276,0.2539,0.1877,1.1.1.1
Q01603,0.3041,0.358,672,54.5,88.29931251190223,0.3013,0.2857,1.11.1.7
Q02252,0.2032,0.2482,515,65.7,94.35657618437892,0.2538,0.2153,1.2.1.18
Q02759,0.1926,0.2053,663,66.5,95.70969805623668,0.2388,0.1942,1.13.11.12
Q03558,0.1498,0.1944,400,44.9,98.33874843161873,0.1445,0.1735,1.6.99.1
Q05754,0.1857,0.2591,591,63.7,91.44380098227572,0.2385,0.2094,1.14.17.1
Q05758,0.1897,0.2121,495,50.1,97.11359780047158,0.2194,0.2008,1.1.1.86
Q05763,0.2383,0.2844,500,53.7,93.5825525982264,0.281,0.214,1.5.1.3
Q07523,0.1821,0.2058,353,44.5,92.30350163458009,0.2198,0.2082,1.1.3.15
Q07923,0.2965,0.2436,191,22.8,95.42225784903172,0.3939,0.1844,1.5.1.39
Q07993,0.1948,0.2265,356,43.3,96.05365243004378,0.2474,0.1959,1.1.1.9
Q08BV2,0.243,0.3064,310,35.5,95.9876569200784,0.2671,0.2183,1.14.11.42
Q09474,0.3305,0.3637,339,43.2,91.42860315186329,0.375,0.2223,1.13.11.11
Q09545,0.3179,0.3485,246,26.0,97.51537429013912,0.3627,0.2675,1.3.5.1
Q09694,0.2333,0.2513,368,39.6,96.46643493150631,0.2785,0.1937,1.5.1.7
Q0IQU1,0.2002,0.3995,564,56.9,95.22419597989878,0.254,0.1903,1.10.3.2
Q0JQ12,0.2227,0.2369,532,53.2,92.4608751576293,0.2998,0.2211,1.5.99.12
Q0WPW4,0.2176,0.2996,307,27.4,94.50002437042986,0.2635,0.1913,1.14.17.4
Q10062,0.2289,0.3331,490,53.4,93.58483173076932,0.3078,0.181,1.3.3.4
Q10E49,0.2372,0.2773,281,25.1,93.39505136221604,0.2658,0.2137,1.14.11.18
Q10N21,0.2583,0.2387,250,26.4,98.00639686684129,0.3149,0.1839,1.11.1.11
Q16698,0.3051,0.3495,300,38.6,95.6094222222223,0.3814,0.2109,1.3.1.34
Q17693,0.2189,0.2178,606,70.5,92.873064449918,0.2624,0.193,1.5.1.20
Q18164,0.294,0.3201,1038,8.0,94.13432022258736,0.3724,0.2248,1.3.1.2
Q1PER6,0.2704,0.244,251,27.5,97.61399999999996,0.3131,0.203,1.11.1.11
Q1ZXH9,0.2399,0.2447,466,56.2,91.4018206302183,0.2979,0.2043,1.14.14.154
Q20679,0.2552,0.2325,707,72.1,94.73133091034984,0.312,0.2098,1.14.11.4
Q20772,0.2655,0.3205,378,50.6,97.39473865199407,0.3097,0.202,1.3.8.6
Q27487,0.3406,0.347,500,49.5,97.19276600985252,0.3746,0.2542,1.11.1.6
Q2FYS1,0.2441,0.2202,363,48.6,92.21063665142476,0.2958,0.2023,1.3.1.12
Q337B8,0.2193,0.2716,537,61.3,96.8821727748696,0.266,0.2044,1.5.5.1
Q3U0B3,0.1835,0.2031,260,31.6,97.39230146686886,0.2387,0.1837,1.1.1.62
Q42997,0.2229,0.245,530,55.3,97.33964844690544,0.2613,0.2042,1.7.7.1
Q46800,0.1898,0.2923,292,36.3,96.85726372637288,0.2232,0.2098,1.17.1.4
Q46871,0.2165,0.3063,254,29.7,95.12931929480868,0.2512,0.2147,1.16.1.9
Q4ADV8,0.2481,0.3199,534,47.5,90.88120150187736,0.3119,0.2108,1.5.99.12
Q4G0S4,0.2865,0.3851,542,41.5,86.60034217877154,0.2987,0.254,1.14.19.53
Q4V8K1,0.3792,0.3864,452,47.7,93.20423506421092,0.4401,0.2549,1.16.1.9
Q54JE4,0.237,0.2375,960,0.5,91.10345116522625,0.2734,0.2147,1.2.4.2
Q54NG9,0.2284,0.2836,480,55.4,95.97419440745632,0.2904,0.1861,1.5.1.10
Q54R47,0.2466,0.3334,370,49.5,97.90293366442069,0.2951,0.203,1.3.8.6
Q54S02,0.3056,0.3273,182,21.8,93.8838085676033,0.3573,0.2332,1.13.11.6
Q556K3,0.2001,0.2747,471,54.0,92.11804353597095,0.2476,0.1946,1.4.3.4
Q556K4,0.2007,0.2814,467,55.4,93.99147216274127,0.249,0.1899,1.4.3.4
Q55CT1,0.2734,0.2413,667,73.3,89.33042256142969,0.328,0.2104,1.6.2.4
Q57617,0.2451,0.1914,774,36.4,94.20772909030268,0.2825,0.2134,1.2.7.4
Q57952,0.1709,0.2247,391,47.6,94.35624793933415,0.2255,0.1668,1.3.7.11
Q58070,0.2042,0.2757,306,37.5,95.62964904679386,0.2611,0.1804,1.3.1.14
Q58085,0.2224,0.2339,224,28.6,96.197950913243,0.2576,0.1891,1.1.1.302
Q58896,0.1731,0.2285,223,23.4,97.55948429164218,0.2333,0.1572,1.5.1.40
Q58929,0.1558,0.1941,331,43.3,97.90477016128908,0.2275,0.1435,1.5.98.2
Q58997,0.1662,0.3514,336,37.3,96.91630078124965,0.2427,0.153,1.1.1.3
Q59WD3,0.2085,0.3989,161,18.5,97.51127450980374,0.2359,0.1989,1.11.1.24
Q5M827,0.2145,0.2492,291,37.2,97.53304501323922,0.2453,0.1902,1.13.11.24
Q5MBR6,0.2424,0.3556,521,59.8,92.91452064896758,0.3045,0.2025,1.13.11.51
Q5U2W9,0.218,0.2751,315,37.9,96.18445302968706,0.291,0.1841,1.6.3.5
Q5U3F8,0.2217,0.2615,287,32.3,96.07217521367556,0.2449,0.2097,1.13.11.6
Q5VRH4,0.3017,0.3125,448,44.1,94.72544206008492,0.361,0.2369,1.13.11.5
Q5VYX0,0.1956,0.2114,342,41.8,96.85208584337344,0.2649,0.1913,1.6.3.5
Q60338,0.213,0.3426,415,39.9,93.35439817629148,0.2569,0.1937,1.12.98.1
Q60340,0.3679,0.3779,230,20.9,92.67697647058858,0.4844,0.2595,1.12.98.1
Q60341,0.2058,0.2268,287,32.9,95.19519768991591,0.2537,0.1968,1.12.98.1
Q61147,0.2222,0.2246,1041,14.0,95.314359647031,0.2643,0.2068,1.16.3.1
Q61578,0.2001,0.2366,450,53.1,96.39997975708562,0.2628,0.1866,1.18.1.6
Q62630,0.2378,0.3074,239,22.5,92.9116319082384,0.2799,0.1911,1.14.11.29
Q64237,0.2164,0.2963,604,63.8,90.74724417637329,0.269,0.2161,1.14.17.1
Q642M9,0.1546,0.191,334,45.8,98.1244929797192,0.2016,0.1781,1.1.1.179
Q64380,0.169,0.2401,850,2.8,96.72805970149338,0.2148,0.1871,1.5.8.3
Q64591,0.2625,0.3376,279,34.5,95.64986704653444,0.3225,0.2006,1.3.1.34
Q65WW7,0.2559,0.2683,281,26.7,93.68710267857152,0.2744,0.2233,1.14.11.18
Q67VR7,0.2442,0.3821,373,33.8,91.21429068150186,0.2719,0.2224,1.14.20.4
Q687X5,0.365,0.3395,441,45.0,93.39851925254808,0.3997,0.2569,1.16.1.9
Q6ID18,0.2214,0.352,558,56.1,95.12762684501844,0.2711,0.2026,1.10.3.2
Q6K9A2,0.162,0.2046,321,40.5,95.01831790744464,0.1927,0.1948,1.2.1.44
Q6NV34,0.2585,0.3537,288,33.2,94.68693915466883,0.3186,0.2008,1.3.1.34
Q6P6J4,0.2879,0.2381,239,24.5,88.32782245430799,0.3027,0.2472,1.14.11.33
Q6TMK4,0.2745,0.2799,505,50.6,96.56078662733525,0.2951,0.2374,1.11.1.7
Q6UPE0,0.2207,0.3611,555,60.9,96.7599701218107,0.2474,0.2126,1.1.99.1
Q6UWP2,0.1813,0.201,260,32.8,97.72976262626268,0.2405,0.1734,1.1.1.62
Q70DU8,0.1938,0.2317,484,59.5,95.65416866826762,0.2542,0.1907,1.2.1.3
Q71KT5,0.2935,0.349,407,45.1,95.07574143302186,0.3604,0.2169,1.3.1.70
Q7SY53,0.3151,0.3804,341,41.8,91.9031534688156,0.3331,0.2438,1.13.11.11
Q7XH05,0.237,0.2835,1358,46.0,90.5581109914836,0.3694,0.2136,1.2.3.1
Q7XI14,0.2272,0.2732,462,56.7,96.845510204082,0.2886,0.1984,1.1.99.39
Q7XTG7,0.2423,0.2831,393,44.3,96.7407333767926,0.294,0.1938,1.17.7.2
Q812C9,0.2668,0.2545,757,74.6,92.96199222710392,0.3413,0.217,1.4.3.21
Q84JL2,0.2595,0.264,346,45.2,97.50409107468144,0.2943,0.1981,1.2.4.4
Q852M2,0.2327,0.2936,1345,45.9,91.33110738585918,0.3578,0.2072,1.2.3.1
Q86A17,0.2201,0.2185,231,29.4,97.3528011527378,0.2659,0.1927,1.5.1.34
Q8BGC4,0.1962,0.1963,362,46.9,94.93438091769842,0.2573,0.1917,1.3.1.48
Q8BLR9,0.3069,0.2596,349,35.2,95.55645342706453,0.3599,0.2404,1.14.11.30
Q8CG45,0.2015,0.2271,316,41.9,97.49432638332031,0.2554,0.1806,1.1.1.n11
Q8CG76,0.2001,0.2362,318,42.5,97.49279106858042,0.252,0.18,1.1.1.n11
Q8GS60,0.2304,0.2735,399,40.5,97.48039897861403,0.2719,0.1965,1.17.7.2
Q8H191,0.2138,0.2845,483,49.8,91.50433680277573,0.2788,0.1908,1.5.3.16
Q8H1H9,0.2665,0.2613,692,73.9,91.98598982927678,0.3086,0.2535,1.4.3.21
Q8INK9,0.3065,0.3537,155,12.5,91.5431848184816,0.3475,0.276,1.8.4.12
Q8K3F7,0.2476,0.2635,310,39.4,94.60791666666678,0.3028,0.2188,1.1.1.103
Q8LDU4,0.3208,0.2422,319,32.0,87.26597813354184,0.3,0.2668,1.3.7.12
Q8LPL3,0.1919,0.2805,551,64.8,96.37931247144805,0.23,0.1858,1.10.3.3
Q8N4Q0,0.1921,0.1835,346,45.9,97.39615981380908,0.2571,0.1863,1.3.1.48
Q8RYM9,0.199,0.368,562,52.7,94.69689017340929,0.2495,0.2012,1.10.3.2
Q8S9J1,0.2619,0.3005,508,56.4,89.41265149578106,0.3098,0.2186,1.3.3.4
Q8TA03,0.3,0.2454,493,54.8,96.0539467440015,0.3433,0.2188,1.1.1.44
Q8VCX1,0.1934,0.2156,325,41.6,97.82222813688232,0.2342,0.1999,1.3.1.3
Q8VZC3,0.2565,0.2527,514,65.2,97.9137093974711,0.323,0.203,1.2.1.88
Q8W033,0.1999,0.2486,479,62.3,95.83660162601645,0.2691,0.1832,1.2.1.3
Q91UZ4,0.2328,0.3053,239,22.2,91.4841965678628,0.268,0.1988,1.14.11.29
Q923B6,0.3763,0.36,452,45.6,93.63036687048414,0.4318,0.2576,1.16.1.9
Q93353,0.217,0.285,337,37.7,94.30636852207272,0.2586,0.1936,1.1.1.41
Q93ZA3,0.2253,0.21,504,61.0,96.93059366425568,0.2765,0.2009,1.1.1.194
Q949Y3,0.2473,0.2806,447,55.3,93.99365754538032,0.245,0.2309,1.11.1.7
Q94B78,0.195,0.346,1037,4.2,93.63246687697136,0.2436,0.2141,1.4.4.2
Q95XM2,0.2185,0.3839,302,32.7,94.287185803758,0.2514,0.1972,1.14.17.3
Q96329,0.2417,0.259,396,46.8,96.9607998683335,0.2863,0.2129,1.3.3.6
